ItemRoot,UnitsLast365,Last365DaysSales,ItemAvgWeight,CountOnHand
203004,0.5,"$2,109.60",21.862,25
203006,61.0,"$120,582.62",9.348,31
203031,18.5,"$51,479.15",13.931,30
203033,56.5,"$102,472.59",8.474,32
203034,56.0,"$69,750.55",5.484,45
203040,32.0,"$68,247.68",10.882,30
203060,3.0,"$2,099.97",3.200,16
203141,2.5,"$3,246.40",6.557,7
203163,16.0,"$17,402.92",5.598,21
203200,32.5,"$60,588.96",9.513,8
203212,8.5,"$26,902.42",16.738,8
203256,7.0,"$19,616.40",15.008,17
203260,7.0,"$17,039.93",12.467,7
203272,4.0,"$4,549.29",5.403,15
203273,28.0,"$54,574.27",10.092,13
203278,43.0,"$56,490.82",6.370,5
203279,,"$41,221.87",,
203280,26.5,"$27,976.16",5.091,28
203281,23.0,"$26,590.33",5.914,13
203288,2.0,"$6,043.62",15.122,33
203314,4.0,"$3,479.96",4.350,37
203315,0.5,$325.00,2.770,52
203316,3.5,"$2,274.97",2.520,29
203317,40.0,"$34,799.60",4.460,22
203320,28.0,"$20,999.72",3.700,13
203366,0.5,"$1,000.00",10.686,15
203371,3.5,"$5,055.52",6.824,9
203397,39.0,"$28,343.80",3.345,31
203414,1.5,"$1,589.99",5.165,32
203415,0.5,$489.78,4.591,23
203551,8.0,"$6,799.92",3.620,1
203565,13.0,"$8,699.87",3.100,34
203567,9.5,"$6,283.81",3.000,41
203568,5.5,"$3,892.25",3.537,52
203569,3.0,"$2,021.13",2.700,43
203573,14.5,"$13,174.14",4.800,91
203574,3.0,"$2,981.89",5.200,73
203585,64.0,"$18,559.36",1.000,148
203593,11.0,"$10,119.89",4.960,65
203618,24.0,"$7,871.76",1.427,15
203628,0.5,$410.00,4.240,17
203631,4.0,"$2,599.96",3.160,0
203650,2.0,"$1,919.98",6.020,7
203663,5.5,"$14,519.95",13.800,20
203690,2.0,"$5,499.98",14.700,41
203692,2.0,"$4,799.98",13.120,6
203742,0.0,$0.00,16.444,5
203980,1.5,$824.99,4.750,12
204102,3.0,"$2,249.97",3.650,6
204366,0.5,$245.00,2.040,13
204413,1.5,"$2,549.99",8.600,6
204439,0.0,$0.00,2.680,16
204456,0.5,$395.00,3.800,13
204471,4.0,"$2,959.96",3.530,15
205110,3.5,$629.97,0.330,15
205130,4.0,"$1,559.96",1.330,13
205138,4.5,"$11,197.85",13.679,19
205149,23.5,"$3,759.77",0.220,28
205172,3.5,"$2,519.97",2.870,56
205178,5.0,"$3,599.95",2.870,5
205195,5.0,"$3,749.95",2.960,7
205196,2.5,"$2,249.98",3.700,1
205337,2.0,"$1,399.98",3.400,8
205538,0.0,$0.00,2.888,33
205547,0.5,$454.86,4.294,37
205548,3.5,"$1,908.07",2.247,29
205549,3.5,"$1,950.17",2.456,24
205550,0.0,$0.00,3.244,20
205551,0.0,$0.00,3.723,38
205559,4.0,"$2,537.46",2.536,16
205569,0.5,$150.00,1.080,13
205570,1.5,$449.99,1.120,6
205577,0.5,$225.00,1.400,17
205582,2.5,"$1,174.98",1.590,13
205593,4.5,"$2,609.96",2.150,0
205595,1.5,$899.99,2.370,10
205596,3.5,"$2,099.97",2.620,4
205604,9.0,"$2,249.91",0.830,15
205608,6.5,"$1,949.94",0.930,18
205609,0.5,$150.00,0.950,19
205629,0.0,$0.00,1.490,18
205640,0.0,$0.00,1.570,19
205680,10.0,"$3,799.90",1.510,0
205682,6.0,"$2,579.94",1.570,3
205689,2.5,"$1,174.98",2.080,8
205701,0.0,$0.00,3.690,20
205711,1.0,$379.99,1.470,12
205728,0.5,$160.00,1.310,17
205740,24.5,"$36,749.76",6.830,4
205771,6.0,"$4,199.94",3.100,0
205774,0.5,$225.00,2.100,15
205797,11.0,"$3,519.89",1.300,11
205812,0.5,$395.00,3.100,20
205821,25.0,"$11,999.75",2.000,8
205829,11.5,"$6,899.89",2.200,11
205830,16.0,"$10,399.84",2.800,10
205831,12.5,"$6,499.88",2.100,3
205834,10.5,"$4,724.90",1.500,12
205835,10.5,"$4,724.90",1.800,15
205838,1.5,$674.99,1.500,20
205841,4.5,"$3,014.96",2.700,15
205861,0.5,$160.00,1.050,19
205867,0.5,$220.00,1.700,10
205887,4.0,"$1,439.96",1.500,0
205894,0.5,$210.00,1.600,11
205903,2.5,"$1,499.98",2.300,21
205911,0.5,$325.00,2.700,12
206173,8.0,"$4,399.92",2.100,1
206176,0.5,$320.00,2.580,11
206179,1.5,$674.99,1.550,20
206189,5.0,"$2,999.95",2.170,10
206190,2.5,"$1,449.98",2.210,4
206306,9.0,"$2,699.91",1.100,11
206336,5.0,"$1,899.95",1.280,6
206384,0.5,$220.00,1.960,10
206388,3.0,"$1,709.97",2.410,5
206412,4.5,"$1,439.96",0.920,0
206420,6.5,"$2,079.94",1.150,1
206428,4.0,"$1,279.96",1.270,23
206459,4.5,"$2,114.96",2.090,11
206501,2.5,"$1,649.98",3.030,4
206524,4.0,"$2,559.96",2.680,7
206529,2.5,$899.98,1.630,6
206538,0.0,$0.00,2.560,13
206550,0.5,$300.00,2.670,17
206557,1.0,$289.99,1.040,11
206559,0.5,$220.00,1.800,13
206603,0.5,$285.00,2.080,16
206614,2.0,$839.98,1.410,8
206626,7.0,"$2,029.93",0.960,14
206640,0.0,$0.00,0.930,19
206648,11.0,"$3,519.89",0.870,17
206661,0.5,$190.00,1.360,22
206665,0.0,$0.00,1.030,11
206672,1.0,$289.99,1.080,60
206676,3.5,"$1,014.97",0.760,14
206691,3.5,"$1,014.97",1.240,13
206712,3.5,"$1,119.97",1.210,11
206722,0.5,$145.00,1.000,20
206723,0.5,$160.00,1.050,20
206727,0.0,$0.00,0.990,18
206735,5.5,"$2,584.95",2.090,6
206743,0.5,$450.00,3.940,14
206749,3.5,"$2,694.97",3.350,12
206754,0.5,$325.00,2.800,15
206766,7.5,"$2,849.93",1.180,0
206768,1.5,$704.99,1.670,10
206770,2.5,"$1,299.98",2.410,13
206772,4.5,"$2,474.96",2.300,12
206774,0.5,$240.00,2.020,15
206782,3.0,"$1,649.97",2.300,8
206783,15.0,"$6,299.85",1.710,0
206787,0.5,$285.00,2.350,14
